n_bins,n_splits,mean_rmse,std_rmse,min_rmse,max_rmse,mean_best_iter,std_best_iter
3,3,4.16121481500372,0.05698918626250271,4.101897351634908,4.238125318410576,957.3333333333334,57.51135153650587
3,5,4.132295778550845,0.07850419811722512,4.018531429560541,4.2344904625587025,787.2,224.83184827777404
3,7,4.117344938749841,0.13272109971926746,3.8485539237590647,4.253141578511159,849.4285714285714,162.59578024998692
3,10,4.112297182621793,0.16443079368622485,3.8745907012352445,4.475350252190774,805.1,206.42114717247358
5,3,4.1803162203099005,0.05183929625228638,4.107037991105105,4.218877520479701,608.3333333333334,4.109609335312651
5,5,4.129561070688651,0.10825003783538384,3.9822445366384187,4.297853042520043,944.4,74.67690406009076
5,7,4.118269241484564,0.15273500914101643,3.920879668594196,4.3562099604386955,936.8571428571429,123.38954409445209
5,10,4.117232385330733,0.11423341083101243,3.914753001630233,4.289599725962217,805.8,172.2229949803452
7,3,4.184040558889063,0.08136504116413255,4.095776153362153,4.292105937103119,677.3333333333334,91.07628060526456
7,5,4.141681785910764,0.08659078311841702,4.025626800044425,4.293224675383722,854.2,191.40679193800833
7,7,4.134635675654111,0.06146448277202013,4.048429853432077,4.222799125689883,666.0,178.25182828154746
7,10,4.116986532831595,0.11906604998804475,3.9383677343324073,4.359020515201251,745.6,212.61570967357986
10,3,4.183861481871001,0.10118954813364237,4.057324938441459,4.3050120856043925,863.6666666666666,137.37620689996584
10,5,4.136422378603676,0.09924062410864802,4.020455435604346,4.298345109512119,919.0,91.27759856613231
10,7,4.130724536917424,0.14966305492844384,3.8734233978433315,4.330510273532,775.2857142857143,108.57744344241024
10,10,4.110124701408388,0.18515333656335928,3.84064876734879,4.360808186162856,804.1,178.52476018748774
